	rank	domain	news	government	ecommerce	http	http_www	https	https_www	country	zone
10	BG-002	24chasa.bg	True	False	False	True	True	True	True	BG	EU
11	BG-003	blitz.bg	True	False	False	True	True	True	True	BG	EU
12	BG-004	novini.bg	True	False	False	True	True	True	True	BG	EU
13	BG-005	marica.bg	True	False	False	True	True	True	True	BG	EU
131	BG-001	olx.bg	False	False	True	True	True	True	True	BG	EU
132	BG-002	emag.bg	False	False	True	True	True	True	True	BG	EU
133	BG-003	bazar.bg	False	False	True	True	True	True	True	BG	EU
134	BG-004	alo.bg	False	False	True	True	True	True	True	BG	EU
135	BG-005	ozone.bg	False	False	True	True	True	True	True	BG	EU
477	BG-001	government.bg	True	True	False	True	True	True	True	BG	EU
478	BG-002	lex.bg	False	True	False	True	True	True	True	BG	EU
480	BG-004	mvr.bg	False	True	False	True	True	True	True	BG	EU
481	BG-005	justice.bg	False	True	False	True	ConnectError	True	ConnectError	BG	EU
41	GR-001	protothema.gr	True	False	False	True	True	True	True	GR	EU
42	GR-003	iefimerida.gr	True	False	False	True	True	True	True	GR	EU
43	GR-004	newsbomb.gr	True	False	False	True	True	True	True	GR	EU
44	GR-005	in.gr	True	False	False	True	True	True	True	GR	EU
157	GR-001	skroutz.gr	False	False	True	True	True	True	True	GR	EU
158	GR-002	bestprice.gr	False	False	True	True	True	True	True	GR	EU
159	GR-004	public.gr	False	False	True	True	True	True	True	GR	EU
160	GR-005	lidl-hellas.gr	False	False	True	True	True	True	True	GR	EU
499	GR-002	aade.gr	False	True	False	True	True	True	True	GR	EU
500	GR-004	ypes.gr	False	True	False	True	True	True	True	GR	EU
14	HR-001	index.hr	True	False	False	True	True	True	True	HR	EU
15	HR-002	jutarnji.hr	True	False	False	True	True	True	True	HR	EU
16	HR-003	vecernji.hr	True	False	False	True	True	True	True	HR	EU
17	HR-004	24sata.hr	True	False	False	True	True	True	True	HR	EU
18	HR-005	slobodnadalmacija.hr	True	False	False	True	True	True	True	HR	EU
136	HR-001	njuskalo.hr	False	False	True	True	True	True	True	HR	EU
137	HR-005	pevex.hr	False	False	True	True	True	True	True	HR	EU
482	HR-001	gov.hr	False	True	False	True	True	True	True	HR	EU
483	HR-005	socskrb.hr	False	True	False	True	True	True	True	HR	EU
62	PL-001	wp.pl	True	False	False	True	True	True	True	PL	EU
63	PL-002	onet.pl	True	False	False	True	True	True	True	PL	EU
64	PL-003	interia.pl	True	False	False	True	True	True	True	PL	EU
65	PL-004	o2.pl	True	False	False	True	True	True	True	PL	EU
66	PL-005	gazeta.pl	True	False	False	True	True	True	True	PL	EU
173	PL-001	allegro.pl	False	False	True	True	True	True	True	PL	EU
174	PL-002	olx.pl	False	False	True	True	True	True	True	PL	EU
175	PL-003	ceneo.pl	False	False	True	True	True	True	True	PL	EU
176	PL-005	pepper.pl	False	False	True	True	True	True	True	PL	EU
515	PL-001	gov.pl	False	True	False	True	True	True	True	PL	EU
516	PL-003	sejm.gov.pl	False	True	False	True	True	True	True	PL	EU
517	PL-004	lodz.pl	False	True	False	True	True	True	True	PL	EU
19	CZ-001	novinky.cz	True	False	False	True	True	True	True	CZ	EU
20	CZ-002	idnes.cz	True	False	False	True	True	True	True	CZ	EU
